Polarities,AspectTerms,OpinionTerms
正面,快递,强大
正面,新包装,特别喜欢
负面,,不持妆
正面,价格,有优势
正面,,挺自然
负面,,太一般了
正面,,挺轻薄的
中性,,有点小
正面,香味,喜欢
正面,,很开心
正面,快递,真的不错
正面,发货速度,很快
负面,,没有免邮券
负面,持久度,不好
正面,服务,好评
正面,物流,超级给力
正面,,特别的好
正面,,超值
正面,物流,够快
负面,快递的包装,中空的
正面,,超快
正面,活动,超级合适
正面,保湿效果,棒棒哒
负面,包装,很旧
负面,,好刺鼻
正面,,美美的
正面,味道,还可以
正面,味道,闻着不错
正面,水分,很多
正面,包装,很简陋
负面,酒精味,好浓
中性,,好用
正面,遮暇效果,还不错
正面,价格,
正面,,遮黄气暗沉
负面,,感觉不高
正面,,超级实惠
正面,遮瑕效果,特别好
正面,保湿效果,非常好
正面,补水,很强
正面,赠品,好多
正面,快递小哥,很好
正面,价格,低一点
负面,优惠力度,
正面,价格,很合适
正面,,还不错
正面,,挺滋润
正面,,好看
正面,活动,
正面,物流服务,好
正面,,不起干皮
正面,,调节肤色
正面,,真快
负面,,比较费
正面,隔离,很好用
正面,,有提亮的效果
正面,,好的
中性,泡沫丰富度,一般
负面,,一点点
中性,,希望满意
正面,,很贴脸
正面,送货,飞快
正面,颜色,粉粉的
正面,效果,不错
正面,肤色提亮,很多
负面,,遮不住什么
正面,,很不错的
中性,,比较干
负面,泡沫,少
负面,,不是正品
正面,价,廉
正面,价格,很便宜
正面,味道,挺淡
正面,,5星好评
正面,,好多了
正面,补水美白效果,挺不错
正面,,不太刺激
正面,白的,不浮夸
正面,,特别的好用
负面,,发错
正面,,特别满意
正面,控油效果,还行
负面,,抹不开
正面,,白的很自然
正面,,好清爽
正面,,真的
正面,,比较信得过
正面,,很多泡泡
正面,,很清爽保湿
正面,补水效果,非常不错
正面,,温和
负面,,会起脂肪粒
正面,设计,很帮
正面,运货速度,非常快
正面,价格,比较实惠
负面,,闷痘
正面,,细致
中性,,泛油光
正面,,没有刺激感
正面,快递员,很细心
正面,,挺不错的
正面,,颜色相近
中性,,有点白
中性,起泡量,少的
正面,,不壳粉
正面,,很滋润
负面,,不贴合
正面,上妆,贴合皮肤
负面,美白效果,不是太明显
负面,物流,应该改进
负面,,卡粉
正面,,好，用
正面,快递,蛮快的
负面,,很气人
正面,,很均匀
正面,,超赞
负面,赠品,
负面,,有点坑
正面,,听水嫩的
正面,透气性,比较好
正面,小包装,完好
正面,,不差
正面,物流,快速
正面,,真品牌
正面,,不敏感
负面,香味,不是很喜欢
正面,,温和性的
正面,,温和不刺激
正面,产品,一流
负面,,不大好
负面,,有些油
正面,送货,非常好
正面,快递服务,不错
正面,效果,挺好的
中性,乳液,
正面,美白,很好
正面,,比较有气色
中性,防晒效果,一般
负面,,有点痒
正面,发货,神速
中性,补水效果,
负面,,太坑了
正面,,真好
负面,,不推荐
正面,盒子,很漂亮
正面,物流,这么快
正面,,特别干净
负面,,有点香
负面,,泛白
负面,服务,太差了
正面,送货速度,真的很快
负面,盒子,都没有
正面,,没有过敏反应
正面,香味,特喜欢
负面,活动,不给力
正面,,划算
正面,物流速度,有点慢
正面,清洁能力,很给力
正面,面膜纸,薄透
负面,遮瑕,不适合
负面,遮瑕效果,没有
正面,包装,挺不错
正面,,又划算
正面,上妆,很好
正面,,润色效果
正面,,好的很
正面,补水效果,还是不错的
正面,,大爱呀
负面,,掉皮
正面,,还挺好用的
负面,遮暇效果,一点都没有
正面,,强力推荐
正面,,不黏不腻
正面,,好闻
正面,,好，棒
正面,,皮肤亮亮的
负面,,有点硬
正面,,比较轻薄
正面,,服帖
正面,,超清爽的
负面,水分,不是很足
正面,,很超值
正面,价格,很美丽
正面,盒子颜值,很高
正面,,好的没话说
正面,价钱,美丽
中性,清洁能力,
正面,物流,太给力
正面,,不蜕皮
正面,,补水的
负面,色号,稍微暗一点
正面,,挺喜欢的
正面,服务,很耐心
正面,,水嫩的
正面,,很好的
中性,,厚重
正面,,比较好用
负面,,稍微偏硬
负面,,不值
正面,活动价格,很实惠
正面,,超级好
正面,服务,非常好
正面,保湿效果,特别好
正面,,很快
正面,味道,不刺鼻
中性,修复角质层,
正面,价位,合理
正面,,很水润
正面,,清洁
正面,清洁能力,还行
负面,客服,敷衍了事
中性,快递小哥服务,很好
正面,,比较显白
负面,说明书,没有
正面,贴合度,很满意
正面,活动,给力
正面,清洁力,还行的
正面,,超喜欢
负面,遮暇功能,差一些
负面,,干死了
正面,,跟舒服
正面,,真的好
正面,,超补水
正面,,便宜不少
正面,小哥服务态度,好
正面,,很可爱
正面,持久情况,还可以
负面,,稍微有点提亮
正面,,很细腻
正面,,有光泽
正面,,正品保证
负面,,不是很值
正面,服务态度,很棒
正面,,很实用
负面,味道,不习惯
正面,,很滑
正面,水份,挺足的
正面,包装,比较好携带
正面,上妆,很快
正面,,放心
负面,,滑滑的
正面,,挺上色
中性,,很舒服
正面,,很不错
正面,,还好吧
正面,,滑滑的
正面,质量,还不错
正面,精华液,很多
正面,快递,快
正面,包装,很严实
负面,包装,差劲
正面,快寄,很给力
正面,卖家服务态度,好
正面,,没有干粉
正面,客服,非常满意
负面,,贵
正面,,挺好
负面,,辣眼睛
正面,活动,特别合算
正面,精华液,多
正面,味道,差不多
正面,,温和的
正面,,有淡斑效果
负面,,比较干
负面,,不是那么水润
正面,,挺水润的
正面,快递,专业
正面,,特划算
负面,浮粉,比较厉害
正面,,应该挺好的
负面,,没那么好用
正面,去污力,强
正面,,洗的干净
正面,,不会很干
负面,,一点点红
负面,,油亮亮的
正面,色泽,唯美
正面,补水,棒棒的
正面,,不是特别油
正面,补水,很适合
正面,味道,很清新
正面,价格,亲民
正面,效果,挺不错
正面,物流,有点慢
正面,,润
正面,提亮肤色效果,好
正面,,不会浮粉
正面,,不黏糊糊
正面,,很多
正面,物流,挺快
正面,快递,超级快
正面,态度,非常好
中性,价格,没有原来美好
负面,,卸不干净
正面,味道,好闻
正面,,好使
正面,,比较好推开
正面,,满喜欢的
负面,量,有点少
中性,,还行吧
正面,服务,超级棒
正面,赠的东西,挺多的
正面,,好帖
正面,味,不错
正面,包装,挺好
正面,清香味,淡淡的
正面,包装,很满意
正面,价格,可以
负面,,浮粉
正面,吸收情况,可以
正面,,便宜一点
正面,,好上妆
正面,价格,对的起
正面,,经济又实惠
正面,保湿效果,还好吧
负面,,有点发干
正面,隔离,非常好用
正面,快递小哥态度,很好
正面,颜色,比较均匀
正面,,自然
正面,保湿,可以
正面,卸妆,很好
正面,成膜速度,非常快
正面,快递,点赞
负面,包装,太简陋
正面,,特别好用
正面,,不伤皮肤
负面,,真心不好用
负面,,有点点油
正面,设计,很贴心
正面,包装,很喜欢
正面,物流,常快
正面,,有保湿效果
正面,,不厚
